Iteration,Duration,Cycles,Instructions,FP_Operations,IPC,IPS,FLOPS
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-17-44,2.561,120398.0000,121261.0000,53704.0000,1.0071,47349.0823,20969.9336
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-17-47,2.562,138879.0000,139616.0000,53693.0000,1.0053,54494.9258,20957.4551
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-17-50,2.563,132549.0000,133058.0000,53694.0000,1.0038,51914.9434,20949.6683
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-17-53,2.563,137044.0000,137846.0000,53679.0000,1.0058,53783.0667,20943.8158
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-17-56,2.562,131905.0000,132461.0000,53676.0000,1.0042,51702.1857,20950.8196
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-17-58,2.560,135717.0000,136213.0000,53645.0000,1.0036,53208.2031,20955.0781
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-18-01,2.560,135952.0000,136537.0000,53677.0000,1.0043,53334.7656,20967.5781
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-18-04,2.561,136385.0000,139267.0000,53651.0000,1.0211,54379.9297,20949.2385
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-18-07,2.563,132284.0000,133132.0000,53696.0000,1.0064,51943.8158,20950.4486
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-18-10,2.563,133190.0000,133657.0000,52552.0000,1.0035,52148.6539,20504.0967
