Iteration,Duration,Cycles,Instructions,FP_Operations,IPC,IPS,FLOPS
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-11-10,8.580,2321.0000,316275.0000,208249.0000,136.2666,36861.8881,24271.4452
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-11-19,8.581,1735.0000,314519.0000,208321.0000,181.2789,36652.9542,24277.0073
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-11-28,8.630,3447.0000,318395.0000,208229.0000,92.3687,36893.9745,24128.5052
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-11-37,8.632,2663.0000,318507.0000,208230.0000,119.6045,36898.4012,24123.0305
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-11-46,8.583,2015.0000,316830.0000,208261.0000,157.2357,36913.6665,24264.3597
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-11-55,8.679,1948.0000,320040.0000,208285.0000,164.2915,36875.2160,23998.7325
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-12-03,8.630,2232.0000,318435.0000,208273.0000,142.6680,36898.6095,24133.6037
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-12-12,8.578,2141.0000,316686.0000,208243.0000,147.9149,36918.3958,24276.4047
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-12-21,8.583,1734.0000,317315.0000,208255.0000,182.9959,36970.1735,24263.6607
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Apr-21-2025_17-12-30,8.581,2769.0000,318188.0000,208216.0000,114.9107,37080.5267,24264.7710
