Iteration,Duration,Cycles,Instructions,FP_Operations,IPC,IPS,FLOPS
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-19-33,5.920,408406.0000,409107.0000,70597.0000,1.0017,69105.9121,11925.1689
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-19-39,5.921,406038.0000,406585.0000,70594.0000,1.0013,68668.2992,11922.6482
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-19-45,6.578,419563.0000,419841.0000,70587.0000,1.0006,63825.0228,10730.7692
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-19-52,6.579,429157.0000,429469.0000,70590.0000,1.0007,65278.7657,10729.5941
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-19-59,6.574,422000.0000,422653.0000,70584.0000,1.0015,64291.6032,10736.8421
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-20-06,6.567,419921.0000,421074.0000,70597.0000,1.0027,64119.6893,10750.2664
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-20-12,6.571,426884.0000,427193.0000,70566.0000,1.0007,65011.8703,10739.0047
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-20-19,6.574,431603.0000,431946.0000,70576.0000,1.0007,65705.2023,10735.6251
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-20-26,6.578,424098.0000,424381.0000,70579.0000,1.0006,64515.2021,10729.5530
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-20-33,5.721,283794.0000,284946.0000,70565.0000,1.0040,49807.0267,12334.3821
