Iteration,Duration,Cycles,Instructions,FP_Operations,IPC,IPS,FLOPS
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-21-49,1.808,63848.0000,64414.0000,59012.0000,1.0088,35627.2123,32639.3805
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-21-51,1.961,73331.0000,74118.0000,65240.0000,1.0107,37796.0224,33268.7404
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-21-53,2.010,77728.0000,78771.0000,66463.0000,1.0134,39189.5522,33066.1691
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-21-55,2.010,78093.0000,79171.0000,66924.0000,1.0138,39388.5572,33295.5223
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-21-57,2.010,76985.0000,78273.0000,65627.0000,1.0167,38941.7910,32650.2487
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-22-00,1.908,71379.0000,72355.0000,64503.0000,1.0136,37921.9077,33806.6037
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-22-02,2.009,75852.0000,76982.0000,66124.0000,1.0148,38318.5664,32913.8875
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-22-04,2.559,82590.0000,83794.0000,68139.0000,1.0145,32744.8221,26627.1981
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-22-07,1.810,67161.0000,67705.0000,62522.0000,1.0080,37406.0773,34542.5414
amdprof_results/AMDuProf-burned_probabilities_data-Custom_Mar-30-2025_18-22-09,1.957,74811.0000,75730.0000,66010.0000,1.0122,38696.9851,33730.1992
